Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010
Receita líquida,435840000.0,506040000.0,132970000.0,155290000.0,264610000.0,544290000.0,249200000.0,171540000.0,314950000.0,420060000.0,382440000.0,600950000.0,515159999.99999994,410330000.0,361390000.0,168110000.0,280830000.0,236800000.0,119900000.0,129060000.0,219450000.0,188140000.0,30880000.0,88210000.0,248170000.0,159060000.0,50400000.0,75660000.0,98940000.0,106520000.0,15000000.0,19670000.0,43050000.0,48800000.0,-14690000.0,31110000.0,69930000.0,261110000.0,33620000.0,23320000.0,56510000.0,72590000.0,36070000.0,3130000.0,40420000.0,116070000.0,17180000.0,0,49400000.0,60990000.0,22830000.0,30510000.0,41800000.0,44000000.0,16320000.0,30250000.0,10750000.0
Custos,-301160000.0,-226570000.0,-114860000.0,-158160000.0,-247430000.0,-269690000.0,-181740000.0,-153850000.0,-280950000.0,-372120000.0,-184230000.0,-204160000.0,-382180000.0,-290350000.0,-132720000.0,-98530000.0,-207540000.0,-174210000.0,-77210000.0,-73580000.0,-158810000.0,-146500000.0,-12990000.0,-54650000.0,-105070000.0,-97840000.0,-16230000.0,-47440000.0,-66810000.0,-77590000.0,-7480000.0,-11840000.0,-39440000.0,-53550000.0,-3100000.0,-23370000.0,-54700000.0,-79600000.0,-20480000.0,-21850000.0,-48560000.0,-66280000.0,-29190000.0,-5380000.0,-37690000.0,-76190000.0,-20790000.0,0,-37550000.0,-64849999.99999999,-19710000.0,-26810000.0,-25080000.0,-32500000.0,-3840000.0,-17160000.0,-8000000.0
Lucro bruto,134680000.0,279470000.0,18100000.0,-2870000.0,17180000.0,274600000.0,67460000.0,17690000.0,34000000.0,47950000.0,198210000.0,396790000.0,132979999.99999999,119990000.0,228670000.0,69570000.0,73300000.0,62590000.0,42690000.0,55470000.0,60640000.0,41630000.0,17890000.0,33560000.0,143100000.0,61210000.0,34180000.0,28220000.0,32130000.000000004,28930000.0,7520000.0,7830000.0,3600000.0,-4750000.0,-17790000.0,7740000.0,15230000.0,181510000.0,13140000.0,1470000.0,7950000.0,6320000.0,6880000.0,-2250000.0,2730000.0,39890000.0,-3610000.0,0,11840000.0,-3870000.0,3120000.0,3700000.0,16719999.999999998,11500000.0,12470000.0,13090000.0,2760000.0
Despesas operacionais,-34700000.0,-38150000.0,-29410000.0,-26360000.0,-32159999.999999996,-49440000.0,-22030000.0,-25230000.0,-21210000.0,-36500000.0,-16450000.0,-23340000.0,-9460000.0,-43890000.0,-14400000.0,-22910000.0,-16200000.0,-21830000.0,-9460000.0,-13170000.0,-12650000.0,-19260000.0,-9510000.0,-8700000.0,-11840000.0,-19530000.0,44130000.0,-9900000.0,-9620000.0,-18420000.0,-7930000.0,-10590000.0,-11120000.0,-4290000.0,-7530000.0,-8010000.0,-9550000.0,-18200000.0,-6490000.0,-11380000.0,-10070000.0,-18540000.0,-6750000.0,-6700000.0,-9040000.0,-19970000.0,-7360000.0,0,-8620000.0,-13630000.0,-6490000.0,-6640000.0,-6140000.0,-9650000.0,-11310000.0,-4200000.0,-4090000.0
EBIT,99980000.0,241320000.0,-11310000.0,-29230000.0,-14980000.0,225160000.0,45430000.0,-7550000.0,12790000.0,11450000.0,181750000.0,373450000.0,123520000.0,76100000.0,214270000.0,46660000.0,57090000.0,40760000.0,33229999.999999996,42300000.0,47990000.0,22370000.0,8380000.000000001,24860000.0,131259999.99999999,41680000.0,78310000.0,18320000.0,22500000.0,10510000.0,-411000.0,-2770000.0,-7510000.0,-9040000.0,-25310000.0,-267000.0,5680000.0,163300000.0,6650000.0,-9900000.0,-2120000.0,-12220000.0,128000.0,-8960000.0,-6310000.0,19920000.0,-10980000.0,0,3220000.0,-17490000.0,-3370000.0,-2930000.0,10580000.0,1850000.0,1160000.0,8900000.0,-1330000.0
Resultado financeiro,-228000.0,-36650000.0,-20460000.0,25970000.0,36860000.0,7950000.0,-30180000.0,-21340000.0,49460000.0,10470000.0,-35630000.0,-40930000.0,13220000.0,-1420000.0,-33070000.0,-76970000.0,15470000.0,-5840000.0,-15290000.0,-10860000.0,1240000.0,14760000.0,-5970000.0,-14560000.0,18690000.0,1280000.0,-17320000.0,-1370000.0,8850000.0,11240000.0,5780000.0,3070000.0,13350000.0,-19410000.0,-6900000.0,1180000.0,63500000.0,2870000.0,13760000.0,10370000.0,5640000.0,-4050000.0,-6320000.0,6130000.0,2670000.0,-3870000.0,3180000.0,0,-7990000.0,-14120000.0,-4380000.0,1090000.0,11190000.0,7010000.0,-867000.0,541000.0,2590000.0
Antes dos impostos,99750000.0,204670000.0,-31770000.0,-3260000.0,21880000.0,233110000.0,15240000.0,-28890000.0,62250000.0,21930000.0,146130000.0,332520000.0,136750000.0,74680000.0,181200000.0,-30310000.0,72560000.0,34920000.0,17940000.0,31450000.0,49230000.0,37130000.0,2410000.0,10300000.0,149950000.0,42960000.0,60980000.0,16960000.0,31360000.0,21750000.0,5370000.0,302000.0,5840000.0,-28450000.0,-32210000.0,912000.0,69190000.0,166180000.0,20410000.0,463000.0,3520000.0,-16270000.0,-6190000.0,-2820000.0,-3640000.0,16050000.0,-7800000.0,0,-4770000.0,-31610000.0,-7750000.0,-1850000.0,21770000.0,8860000.0,293000.0,9440000.0,1260000.0
Imposto,-2300000.0,28180000.0,1620000.0,-2560000.0,8109999.999999999,9600000.0,-18540000.0,16010000.000000002,-20250000.0,9190000.0,-64349999.99999999,-33180000.0,-28870000.0,53200000.0,-43630000.0,6840000.0,3090000.0,-967000.0,6690000.0,-11050000.0,-8650000.0,-132000.0,1540000.0,-10810000.0,-13320000.0,-2250000.0,-7000000.0,-5450000.0,-11220000.0,-618000.0,-832000.0,-1680000.0,-2820000.0,11450000.0,10770000.0,-745000.0,-22930000.0,-4250000.0,-4290000.0,717000.0,-1940000.0,9720000.0,3830000.0,1450000.0,574000.0,3190000.0,3520000.0,0,2089999.9999999998,12520000.0,3660000.0,779000.0,-4110000.0000000005,-1210000.0,-274000.0,-3260000.0,-445000.0
Op continuadas,97460000.0,232850000.0,-30150000.0,-5820000.0,29980000.0,242710000.0,-3290000.0,-12880000.0,42000000.0,31110000.0,81780000.0,299340000.0,107870000.0,127880000.0,137570000.0,-23460000.0,75650000.0,33950000.0,24620000.0,20400000.0,40580000.0,37000000.0,3950000.0,-513000.0,136640000.0,40720000.0,53980000.0,11500000.0,20130000.0,21130000.0,4540000.0,-1380000.0,3020000.0,-17000000.0,-21440000.0,167000.0,46260000.0,161930000.0,16120000.000000002,1180000.0,1580000.0,-6550000.0,-2360000.0,-1380000.0,-3070000.0,19230000.0,-4280000.0,0,-2680000.0,-19100000.0,-4090000.0,-1070000.0,17660000.0,7650000.0,19000.0,6180000.0,815000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,97460000.0,232850000.0,-30150000.0,-5820000.0,29980000.0,242710000.0,-3290000.0,-12880000.0,42000000.0,31110000.0,81780000.0,299340000.0,107870000.0,127880000.0,137570000.0,-23460000.0,75650000.0,33950000.0,24620000.0,20400000.0,40580000.0,37000000.0,3950000.0,-513000.0,136640000.0,40720000.0,53980000.0,11500000.0,20130000.0,21130000.0,4540000.0,-1380000.0,3020000.0,-17000000.0,-21440000.0,167000.0,46260000.0,161930000.0,16120000.000000002,1180000.0,1580000.0,-6550000.0,-2360000.0,-1380000.0,-3070000.0,19230000.0,-4280000.0,0,-2680000.0,-19100000.0,-4090000.0,-1070000.0,17660000.0,7650000.0,19000.0,6180000.0,815000.0
Dos controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,317650000.0,0,0,75650000.0,119550000.0,0,0,40580000.0,177080000.0,0,0,0,126340000.0,0,0,20130000.0,21130000.0,4540000.0,-1380000.0,3020000.0,-17000000.0,-21440000.0,167000.0,46260000.0,161930000.0,16120000.000000002,1180000.0,1580000.0,-6550000.0,-2360000.0,-1380000.0,-3070000.0,19230000.0,-4280000.0,0,-2680000.0,-19160000.0,-3130000.0,-1060000.0,17790000.0,7660000.0,-24000.0,6250000.0,866000.0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,-189760000.0,137570000.0,-23460000.0,0,-85600000.0,24620000.0,20400000.0,0,-140080000.0,3950000.0,-513000.0,136640000.0,-85620000.0,53980000.0,11500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000.0,-962000.0,-2000.0,-131000.0,-4000.0,43000.0,-68000.0,-51000.0
