Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012
Receita líquida,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custos,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro bruto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas operacionais,1160000000.0,1080000000.0,1140000000.0,1250000000.0,1050000000.0,954970000.0,1020000000.0,1260000000.0,1010000000.0,849520000.0,857990000.0,749780000.0,831800000.0,766730000.0,779900000.0,757520000.0,808320000.0,631720000.0,735160000.0,773010000.0,4219999999.9999995,689040000.0,624500000.0,964720000.0,483540000.0,481170000.0,660970000.0,573730000.0,847930000.0,465700000.0,653510000.0,372980000.0,509430000.0,567760000.0,594660000.0,598470000.0,533289999.99999994,589900000.0,585970000.0,565010000.0,479600000.0,519760000.0,467900000.0,423460000.0,335010000.0,357260000.0,310820000.0,0,0,0,0
EBIT,2530000000.0,2420000000.0,2320000000.0,2330000000.0,2350000000.0,2120000000.0,2100000000.0,2069999999.9999998,1960000000.0,1710000000.0,1450000000.0,1480000000.0,1230000000.0,999840000.0,1220000000.0,1180000000.0,1360000000.0,1150000000.0,1090000000.0,1370000000.0,4780000000.0,1270000000.0,1190000000.0,1160000000.0,1010000000.0,1190000000.0,1050000000.0,1070000000.0000001,1420000000.0,1070000000.0000001,1140000000.0,1080000000.0,1150000000.0,1240000000.0,1080000000.0,1230000000.0,1220000000.0,1420000000.0,1080000000.0,1340000000.0,987900000.0,1030000000.0,742670000.0,1050000000.0,664850000.0,672240000.0,538710000.0,0,0,0,0
Resultado financeiro,171090000.0,1340000000.0,1220000000.0,-3000000000.0,182090000.0,150300000.0,1130000000.0,176630000.0,947160000.0,864740000.0,58140000.0,66040000.00000001,400910000.0,24600000.0,470520000.0,420060000.0,17760000.0,519460000.00000006,46710000.0,-1420000000.0,562390000.0,69380000.0,50690000.0,1770000000.0,528750000.0,61090000.0,46720000.0,2060000000.0,56650000.0,604320000.0,67570000.0,702280000.0,638850000.0,68470000.0,608260000.0,629940000.0,0,825530000.0,603960000.0,2190000000.0,0,506540000.0,39060000.0,1560000000.0,329840000.0,314990000.0,293390000.0,0,0,0,0
Antes dos impostos,2700000000.0,2560000000.0,2440000000.0,2490000000.0,2540000000.0,2270000000.0,2200000000.0,2250000000.0,2109999999.9999998,1830000000.0,1510000000.0,1540000000.0,1270000000.0,1020000000.0,1240000000.0,1190000000.0,1380000000.0,1180000000.0,1140000000.0,1460000000.0,4870000000.0,1340000000.0,1240000000.0,1230000000.0,1060000000.0,1250000000.0,1100000000.0,1140000000.0,1480000000.0,1150000000.0,1210000000.0,1170000000.0,1200000000.0,1310000000.0,1150000000.0,1230000000.0,1220000000.0,1420000000.0,1130000000.0,1340000000.0,987900000.0,1030000000.0,781730000.0,1050000000.0,664850000.0,672240000.0,564430000.0,0,0,0,0
Imposto,-448990000.0,-415500000.0,-413000000.0,-393900000.0,-412080000.0,-373820000.0,-366300000.0,-481410000.0,-394630000.0,-328300000.0,-299320000.0,-315000000.0,-295150000.0,-270740000.0,-265310000.0,-276590000.0,-283650000.0,-225440000.0,-256190000.0,-298310000.0,-1470000000.0,-261290000.00000003,-222780000.0,-517789999.99999994,-190660000.0,-191560000.0,-211350000.0,-228510000.0,-283630000.0,-194830000.0,-212990000.0,-189760000.0,-212760000.0,-218640000.0,-189400000.0,-214840000.0,-191380000.0,-200250000.0,-180740000.0,-202820000.0,-165620000.0,-180880000.0,-133009999.99999999,-142590000.0,-117020000.0,-121900000.0,-92460000.0,0,0,0,0
Op continuadas,2250000000.0,2140000000.0000002,2020000000.0,2100000000.0,2120000000.0,1890000000.0,1830000000.0,1770000000.0,1720000000.0,1500000000.0,1210000000.0,3930000000.0,0,753700000.0,977060000.0,916620000.0,1090000000.0,956800000.0,882720000.0,1160000000.0,3400000000.0,1080000000.0,1010000000.0,716890000.0,873780000.0,1060000000.0,886500000.0,907920000.0,1190000000.0,956310000.0,992800000.0,981520000.0,987930000.0,1090000000.0,957680000.0,1010000000.0,1030000000.0,1220000000.0,949120000.0,1140000000.0,822280000.0,845420000.0,648720000.0,903610000.0,547830000.0,550340000.0,471970000.0,0,0,0,0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,2250000000.0,2140000000.0000002,2020000000.0,2100000000.0,2120000000.0,1890000000.0,1830000000.0,1770000000.0,1720000000.0,1500000000.0,1210000000.0,1230000000.0,975820000.0,753700000.0,977060000.0,916620000.0,1090000000.0,956800000.0,882720000.0,1160000000.0,3400000000.0,1080000000.0,1010000000.0,716890000.0,873780000.0,1060000000.0,886500000.0,907920000.0,1190000000.0,956310000.0,992800000.0,981520000.0,987930000.0,1090000000.0,957680000.0,1010000000.0,1030000000.0,1220000000.0,949120000.0,1140000000.0,822280000.0,845420000.0,648720000.0,903610000.0,547830000.0,550340000.0,471970000.0,0,0,0,0
Dos controladores,2250000000.0,2140000000.0000002,2020000000.0,2100000000.0,2120000000.0,1890000000.0,1830000000.0,1770000000.0,1720000000.0,1500000000.0,1210000000.0,1230000000.0,975820000.0,753700000.0,977060000.0,916620000.0,1090000000.0,956800000.0,882720000.0,1160000000.0,3400000000.0,1080000000.0,1010000000.0,716890000.0,873780000.0,1060000000.0,886500000.0,907920000.0,1190000000.0,956310000.0,992800000.0,981520000.0,987930000.0,1090000000.0,957680000.0,1010000000.0,1030000000.0,1220000000.0,949120000.0,1140000000.0,822280000.0,845420000.0,648720000.0,903610000.0,547830000.0,550340000.0,471970000.0,0,0,0,0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
