Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,1T2021.1,4T2020,3T2020,2T2020,1T2020,1T2020.1,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,6570000000.0,5840000000.0,6210000000.0,7010000000.0,5460000000.0,6500000000.0,5760000000.0,6030000000.0,5190000000.0,5930000000.0,5380000000.0,3840000000.0,2550000000.0,3860000000.0,0,1240000000.0,2340000000.0,3350000000.0,3570000000.0,0,4219999999.9999995,2470000000.0,3540000000.0,3260000000.0,2450000000.0,2100000000.0,2320000000.0,2150000000.0,1680000000.0,1340000000.0,2650000000.0,1770000000.0,2970000000.0,3480000000.0,2480000000.0,4290000000.0,2440000000.0,1340000000.0,6140000000.0,1150000000.0,4630000000.0,3550000000.0,2490000000.0,3250000000.0,2490000000.0,2190000000.0,2500000000.0,2220000000.0,2100000000.0,1760000000.0,2040000000.0,1520000000.0,2000000000.0,1330000000.0,1490000000.0,1290000000.0,1360000000.0,1030000000.0,951850000.0,538210000.0,570780000.0
Custos,-413940000.0,-1040000000.0,-1100000000.0,-382450000.0,-661310000.0,-870870000.0,-494240000.0,-2220000000.0,-708110000.0,-998280000.0,-722370000.0,-423410000.0,-176060000.0,-330580000.0,0,-370420000.0,-311260000.0,-2870000000.0,-3400000000.0,0,-7590000000.0,-745460000.0,-3430000000.0,-2069999999.9999998,-2049999999.9999998,-830820000.0,-2640000000.0,-4219999999.9999995,-1340000000.0,-1410000000.0,-1270000000.0,-2520000000.0,-1790000000.0,-3440000000.0,-1980000000.0,-2000000000.0,-1870000000.0,-1250000000.0,-12480000000.0,-714820000.0,-8130000000.000001,-5010000000.0,-3600000000.0,-2180000000.0,-1830000000.0,-1970000000.0,-2020000000.0,-2140000000.0000002,-1110000000.0,-1180000000.0,-1320000000.0,-1310000000.0,-1200000000.0,-1040000000.0,-1440000000.0,-888420000.0,-1130000000.0,-876420000.0,-659090000.0,-372260000.0,-435890000.0
Lucro bruto,6160000000.0,4800000000.0,5110000000.0,6630000000.0,4800000000.0,5630000000.0,5270000000.0,3810000000.0,4480000000.0,4930000000.0,4650000000.0,3410000000.0,2370000000.0,3530000000.0,0,865960000.0,2029999999.9999998,487610000.0,171170000.0,0,-3380000000.0,1720000000.0,106280000.0,1190000000.0,398790000.0,1270000000.0,-318220000.0,-2060000000.0,337590000.0,-65810000.0,1370000000.0,-756500000.0,1180000000.0,41020000.0,500470000.0,2290000000.0,574470000.0,94570000.0,-6340000000.0,430270000.0,-3500000000.0,-1450000000.0,-1110000000.0,1070000000.0000001,659830000.0,221560000.0,479080000.0,83180000.0,990100000.0,580290000.0,721540000.0,207830000.0,795390000.0,292230000.0,50340000.0,401060000.0,229960000.0,154810000.0,292750000.0,165950000.0,134890000.0
Despesas operacionais,-2620000000.0,-1610000000.0,-2069999999.9999998,-3170000000.0,-1740000000.0,-2820000000.0,-2940000000.0,-2560000000.0,-1930000000.0,-2340000000.0,-2109999999.9999998,1630000000.0,141670000.0,-1160000000.0,0,668630000.0,29690000.0,572970000.0,753510000.0,0,633990000.0,326250000.0,465690000.0,360600000.0,270780000.0,120210000.0,97240000.0,860810000.0,184930000.0,-1340000000.0,664960000.0,353270000.0,164920000.0,42870000.0,419690000.0,-889470000.0,655850000.0,-276430000.0,4850000000.0,382760000.0,3030000000.0,1630000000.0,1500000000.0,-170120000.0,653300000.0,329930000.0,247470000.0,376730000.0,-60000000.0,59590000.0,89490000.0,442400000.0,42400000.0,95740000.0,121840000.0,-9070000.0,185130000.0,111810000.0,192000000.0,-88700000.0,226410000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,13700000.0,0,0,-26260000.0,-19300000.0,-6650000.0,-13970000.0,-12290000.0,12530000.0,-10410000.0,37870000.0,-3870000.0,0,68130000.0,0,,715430000.0,163880000.0,201110000.0,0,1290000.0,195880000.0,-35000.0,-1340000.0,41310000.0,-2640000.0,30000.0,118420000.0,0,-30790000.0,2220000.0,31610000.0,-28820000.0,321150000.0,60210000.0,75430000.0,112190000.0,2630000000.0,472700000.0,1040000000.0,2000.0,28170000.0,-1360000.0,105000.0,-4570000.0,270550000.0,1090000.0,-1000.0,996000.0,-13720000.0,1850000.0,0,-18000.0,21000.0,-14000.0,2780000.0,1150000.0,-623000.0,-483000.0,-256000.0,398000.0
Antes dos impostos,3530000000.0,3200000000.0,3040000000.0,3460000000.0,3060000000.0,2810000000.0,2330000000.0,1250000000.0,2560000000.0,2590000000.0,2550000000.0,5040000000.0,2510000000.0,2370000000.0,0,1530000000.0,2780000000.0,1220000000.0,1130000000.0,0,-2740000000.0,2250000000.0,571930000.0,1550000000.0,710890000.0,1390000000.0,-220950000.0,-1080000000.0,522520000.0,-1440000000.0,2040000000.0,-371620000.0,1320000000.0,405040000.0,980360000.0,1480000000.0,1340000000.0,2450000000.0,-1010000000.0,1850000000.0,-476010000.0,204530000.0,385060000.0,897360000.0,1310000000.0,822040000.0,727640000.0,459900000.0,931100000.0,626150000.0,812890000.0,650230000.0,837770000.0,388000000.0,172170000.0,394780000.0,416240000.0,266000000.0,484270000.0,76990000.0,361700000.0
Imposto,-422790000.0,-452500000.0,-417230000.0,-497400000.0,-371860000.0,-363660000.0,-176100000.0,328030000.0,-441220000.0,-544950000.0,-635510000.0,-3150000000.0,-590900000.0,-689050000.0,0,-344690000.0,-143790000.0,0,0,0,0,-72360000.0,0,0,0,-80190000.0,0,0,0,1640000000.0,-1320000000.0,3150000.0,3570000.0,-3650000.0,63140000.0,30700000.0,-93840000.0,-401020000.0,8710000.0,24620000.0,-33350000.0,-16649999.999999998,315550000.0,-157170000.0,-155820000.0,223320000.0,-33110000.0,-47370000.0,-280540000.0,-156990000.0,-131180000.0,-75280000.0,-129530000.0,72360000.0,23210000.0,-39590000.0,-55980000.0,-15010000.0,-24860000.0,65480000.00000001,-20910000.0
Op continuadas,3110000000.0,2740000000.0,2620000000.0,2960000000.0,2690000000.0,2450000000.0,2150000000.0,1580000000.0,2109999999.9999998,2049999999.9999998,1910000000.0,1890000000.0,1920000000.0,1680000000.0,,1190000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucro líquido,3110000000.0,2740000000.0,2620000000.0,2960000000.0,2690000000.0,2450000000.0,2150000000.0,1580000000.0,2109999999.9999998,2049999999.9999998,1910000000.0,1890000000.0,1920000000.0,1680000000.0,0,1190000000.0,1890000000.0,1030000000.0,1270000000.0,0,-907790000.0,1640000000.0,621140000.0,1050000000.0,618850000.0,787280000.0,266839999.99999997,-253130000.0,477550000.0,360080000.0,709200000.0,124250000.0,872630000.0,679780000.0,717080000.0,1000000000.0,1010000000.0,1540000000.0,1850000000.0,1290000000.0,937270000.0,757640000.0,803740000.0,871120000.0,935650000.0,803380000.0,614790000.0,742190000.0,482610000.0,675170000.0,425380000.0,522679999.99999994,400830000.0,873610000.0,173370000.0,225960000.0,208290000.0,239410000.0,235220000.0,139230000.0,197040000.0
Dos controladores,2850000000.0,2750000000.0,2590000000.0,2830000000.0,2690000000.0,2360000000.0,2100000000.0,711230000.0,2330000000.0,2009999999.9999998,2140000000.0000002,2029999999.9999998,2020000000.0,1670000000.0,,1180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dos não controladores,263769999.99999997,-3560000.0,26570000.0,134320000.0,-3120000.0,91910000.0,51300000.0,867510000.0,-217760000.0,31980000.0,-225760000.0,-132419999.99999999,-96980000.0,12720000.0,,6610000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
