Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010
Receita líquida,1960000000.0,1640000000.0,2420000000.0,1590000000.0,1530000000.0,1340000000.0,1810000000.0,1530000000.0,1580000000.0,1700000000.0,1480000000.0,1530000000.0,1420000000.0,1290000000.0,1150000000.0,1210000000.0,919730000.0,1020000000.0,1150000000.0,1030000000.0,766660000.0,751730000.0,1120000000.0,840780000.0,638710000.0,757180000.0,1110000000.0,895070000.0,614020000.0,812270000.0,845680000.0,605420000.0,603670000.0,554750000.0,689200000.0,694690000.0,587660000.0,367180000.0,643210000.0,497120000.0,397710000.0,378010000.0,320350000.0,312830000.0,504260000.0,396240000.0,311050000.0,304000000.0,456950000.0,219490000.0,259470000.00000003,380450000.0,398120000.0,328950000.0,280560000.0,390290000.0,338750000.0,285450000.0
Custos,-1390000000.0,-1130000000.0,-2080000000.0,-1250000000.0,-1050000000.0,-831600000.0,-1360000000.0,-1070000000.0000001,-1050000000.0,-1120000000.0,-885340000.0,-828680000.0,-789020000.0,-796650000.0,-711920000.0,-749050000.0,-588630000.0,-701230000.0,-762480000.0,-663480000.0,-538010000.0,-553030000.0,-916450000.0,-619820000.0,-452520000.0,-500150000.0,-799470000.0,-549940000.0,-450050000.0,-536880000.0,-633940000.0,-458840000.0,-435660000.0,-397770000.0,-517900000.0,-503330000.0,-404490000.0,-269080000.0,-494840000.0,-347350000.0,-269230000.0,-259120000.0,-233030000.0,-229210000.0,-343600000.0,-283220000.0,-227160000.0,-231820000.0,-319610000.0,-151130000.0,-230950000.0,-282820000.0,-244650000.0,-232010000.0,-204310000.0,-264579999.99999997,-220790000.0,-206020000.0
Lucro bruto,567850000.0,512169999.99999994,342520000.0,339950000.0,481990000.0,510990000.0,457190000.0,466110000.0,533549999.99999994,581060000.0,597300000.0,703060000.0,628780000.0,491120000.0,441430000.0,461930000.0,331100000.0,319790000.0,383800000.0,365710000.0,228660000.0,198700000.0,207240000.0,220960000.0,186190000.0,257029999.99999997,314870000.0,345120000.0,163980000.0,275390000.0,211740000.0,146580000.0,168010000.0,156980000.0,171300000.0,191360000.0,183170000.0,98100000.0,148370000.0,149770000.0,128479999.99999999,118890000.0,87310000.0,83620000.0,160660000.0,113020000.0,83890000.0,72180000.0,137340000.0,68360000.0,28520000.0,97620000.0,153470000.0,96940000.0,76250000.0,125700000.0,117960000.0,79430000.0
Despesas operacionais,-150690000.0,-148550000.0,716980000.0,-106300000.0,375850000.0,-130500000.0,-138960000.0,337300000.0,-94470000.0,-65239999.99999999,-138240000.0,333650000.0,-84010000.0,-118960000.0,-111350000.0,-86440000.0,292690000.0,-98240000.0,-90360000.0,252880000.0,-87250000.0,-66300000.0,27980000.0,-67099999.99999999,-69660000.0,-64629999.99999999,-75390000.0,-75750000.0,-73350000.0,-75190000.0,96170000.0,-26050000.0,-39870000.0,-44680000.0,-31610000.0,-33570000.0,-63140000.0,-28740000.0,-53920000.0,-45580000.0,36350000.0,-26960000.0,-50830000.0,-31330000.0,-60190000.0,-58430000.0,-47380000.0,-36450000.0,-49210000.0,-49800000.0,-33420000.0,-15090000.0,-55560000.0,-36100000.0,-48450000.0,-28910000.0,-53010000.0,-33210000.0
EBIT,417160000.0,363620000.0,1060000000.0,233660000.0,857840000.0,380490000.0,318230000.0,803420000.0,439080000.0,515820000.00000006,459060000.0,1040000000.0,544770000.0,372170000.0,330080000.0,375490000.0,623790000.0,221560000.0,293440000.0,618590000.0,141400000.0,132400000.0,235220000.0,153860000.0,116540000.0,192400000.0,239480000.0,269380000.0,90630000.0,200200000.0,307910000.0,120530000.0,128150000.0,112300000.0,139680000.0,157790000.0,120030000.0,69360000.0,94440000.0,104190000.0,164840000.0,91930000.0,36480000.0,52290000.0,100470000.0,54590000.0,36520000.0,35730000.0,88120000.0,18560000.0,-4900000.0,82530000.0,97910000.0,60840000.0,27790000.0,96790000.0,64950000.0,46230000.0
Resultado financeiro,-171770000.0,-328130000.0,-161940000.0,-139820000.0,-282280000.0,-160820000.0,-137170000.0,-273380000.0,-173580000.0,-298810000.0,-162260000.0,-132840000.0,-48930000.0,-129440000.0,-52590000.0,-66220000.0,-150440000.0,-72850000.0,-109090000.0,-199400000.0,-80150000.0,-63520000.0,-147580000.0,-75030000.0,-57600000.0,-38580000.0,-47370000.0,-52920000.0,-37550000.0,-39290000.0,-62650000.0,-64970000.0,-54610000.0,-73020000.0,-61740000.0,-74530000.0,-101920000.0,-56030000.0,-33350000.0,-59160000.0,-28140000.0,-20920000.0,-25640000.0,-11350000.0,-16500000.0,-1790000.0,-14900000.0,-25490000.0,-16110000.0,-7020000.0,-19120000.0,-16440000.000000002,-25480000.0,-9140000.0,-6160000.0,-11410000.0,-2140000.0,-18960000.0
Antes dos impostos,245390000.0,35480000.0,897550000.0,93830000.0,575570000.0,219670000.0,181060000.0,530030000.0,265500000.0,217010000.0,296800000.0,903870000.0,495840000.0,242730000.0,277490000.0,309270000.0,473350000.0,148700000.0,184350000.0,419190000.0,61250000.0,68890000.0,87640000.0,78840000.0,58930000.0,153820000.0,192110000.0,216450000.0,53070000.0,160910000.0,245260000.0,55560000.0,73540000.0,39280000.0,77940000.0,83260000.0,18110000.0,13320000.0,61090000.0,45030000.0,136700000.0,71010000.0,10840000.0,40940000.0,83970000.0,52810000.0,21610000.0,10240000.0,72020000.0,11540000.0,-24020000.0,66090000.0,72430000.0,51700000.0,21630000.0,85380000.0,62820000.0,27270000.0
Imposto,-57940000.0,70830000.0,-270270000.0,116800000.0,-157470000.0,596000.0,-29180000.0,-100340000.0,-52910000.0,4560000.0,-71370000.0,-206930000.0,-127430000.0,-52640000.0,-70130000.0,-37100000.0,-141450000.0,-33000000.0,-41700000.0,-76270000.0,732000.0,22580000.0,-2029999.9999999998,-12910000.0,-385000.0,-49870000.0,-38770000.0,-47970000.0,-59000.0,-44040000.0,-125820000.0,281000.0,-4620000.0,386000.0,-5830000.0,-4080000.0,6090000.0,18120000.0,-4520000.0,9480000.0,-20190000.0,-10290000.0,-4410000.0,-7990000.0,-23090000.0,-18080000.0,-8870000.0,-2940000.0,-21490000.0,-9170000.0,8540000.0,-10640000.0,-23760000.0,-13740000.0,-9760000.0,-15710000.0,-21140000.0,-8199999.999999999
Op continuadas,187450000.0,106320000.0,627280000.0,210630000.0,418090000.0,220270000.0,151880000.0,429690000.0,212600000.0,221580000.0,225430000.0,696940000.0,368410000.0,190090000.0,207360000.0,272160000.0,331890000.0,115710000.0,142650000.0,342920000.0,61980000.0,91460000.0,85610000.0,65930000.00000001,58550000.0,103960000.0,153340000.0,168480000.0,53020000.0,116870000.0,119440000.0,55840000.0,68910000.0,39670000.0,72120000.0,79170000.0,24210000.0,31450000.0,56570000.0,54510000.0,116510000.0,60730000.0,6430000.0,32960000.0,60890000.0,34730000.0,12740000.0,7310000.0,50520000.0,2380000.0,-15480000.0,55460000.0,48670000.0,37960000.0,11880000.0,69670000.0,41680000.0,19070000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,187450000.0,106320000.0,627280000.0,210630000.0,418090000.0,220270000.0,151880000.0,429690000.0,212600000.0,221580000.0,225430000.0,696940000.0,368410000.0,190090000.0,207360000.0,272160000.0,331890000.0,115710000.0,142650000.0,342920000.0,61980000.0,91460000.0,85610000.0,65930000.00000001,58550000.0,103960000.0,153340000.0,168480000.0,53020000.0,116870000.0,119440000.0,55840000.0,68910000.0,39670000.0,72120000.0,79170000.0,24210000.0,31450000.0,56570000.0,54510000.0,116510000.0,60730000.0,6430000.0,32960000.0,60890000.0,34730000.0,12740000.0,7310000.0,50520000.0,2380000.0,-15480000.0,55460000.0,48670000.0,37960000.0,11880000.0,69670000.0,41680000.0,19070000.0
Dos controladores,0,106320000.0,1260000000.0,0,0,220270000.0,364470000.0,429690000.0,0,221580000.0,225430000.0,696940000.0,368410000.0,190090000.0,207360000.0,272160000.0,331890000.0,115710000.0,142650000.0,342920000.0,61980000.0,91460000.0,85610000.0,65930000.00000001,58550000.0,103960000.0,153340000.0,168480000.0,53020000.0,116870000.0,119440000.0,55840000.0,68910000.0,39670000.0,72120000.0,79170000.0,24210000.0,31450000.0,56570000.0,53540000.0,115220000.0,60730000.0,6430000.0,32960000.0,60890000.0,34730000.0,12740000.0,7310000.0,50520000.0,2380000.0,-15480000.0,55460000.0,48670000.0,37960000.0,11880000.0,69670000.0,41680000.0,19070000.0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969000.0,1290000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
