"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013"
"P/L","8,58","7,88","9,26","10,52","9,57","5,41","
                    
                    10,05
                    
                ","
                    
                    8,72
                    
                ","
                    
                    8,25
                    
                ","
                    
                    7,57
                    
                ","
                    
                    9,55
                    
                ","
                    
                    9,77
                    
                "
"P/VP","5,96","6,38","7,14","5,68","5,77","6,86","
                    
                    5,21
                    
                ","
                    
                    3,97
                    
                ","
                    
                    4,00
                    
                ","
                    
                    4,20
                    
                ","
                    
                    4,16
                    
                ","
                    
                    3,48
                    
                "
"P/EBIT","7,61","7,03","7,97","8,39","7,71","4,19","
                    
                    8,06
                    
                ","
                    
                    7,53
                    
                ","
                    
                    7,25
                    
                ","
                    
                    6,37
                    
                ","
                    
                    7,97
                    
                ","
                    
                    8,20
                    
                "
"PSR","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"P/Ativos","3,80","3,43","3,46","3,11","3,38","2,41","
                    
                    2,61
                    
                ","
                    
                    2,65
                    
                ","
                    
                    2,64
                    
                ","
                    
                    2,77
                    
                ","
                    
                    3,18
                    
                ","
                    
                    2,75
                    
                "
"LPA","4,26","3,97","3,10","1,97","1,93","3,33","
                    
                    1,77
                    
                ","
                    
                    2,02
                    
                ","
                    
                    2,01
                    
                ","
                    
                    2,10
                    
                ","
                    
                    1,73
                    
                ","
                    
                    1,24
                    
                "
"VPA","6,13","4,91","4,02","3,64","3,19","2,62","
                    
                    3,42
                    
                ","
                    
                    4,45
                    
                ","
                    
                    4,14
                    
                ","
                    
                    3,79
                    
                ","
                    
                    3,96
                    
                ","
                    
                    3,47
                    
                "
"EBIT por ação","4,80","4,45","3,60","2,47","2,39","4,30","
                    
                    2,21
                    
                ","
                    
                    2,35
                    
                ","
                    
                    2,29
                    
                ","
                    
                    2,50
                    
                ","
                    
                    2,07
                    
                ","
                    
                    1,47
                    
                "
"Ativo por ação","9,61","9,14","8,29","6,66","5,45","7,46","
                    
                    6,81
                    
                ","
                    
                    6,67
                    
                ","
                    
                    6,27
                    
                ","
                    
                    5,75
                    
                ","
                    
                    5,19
                    
                ","
                    
                    4,39
                    
                "
"Receita líquida por ação","--","--","0,00","0,00","0,00","0,00","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                "
"Margem bruta","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem líquida","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"ROE","69,51%","80,96%","77,10%","54,02%","60,27%","126,86%","
                    
                    51,82%
                    
                ","
                    
                    45,51%
                    
                ","
                    
                    48,42%
                    
                ","
                    
                    55,50%
                    
                ","
                    
                    43,62%
                    
                ","
                    
                    35,64%
                    
                "
"ROA","0,44","0,43","0,37","0,30","0,35","0,45","
                    
                    0,26
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,28
                    
                "
"Giro do ativo","--","--","0,00","0,00","0,00","0,00","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","2,17","1,08","1,11","1,28","1,27","1,05","
                    
                    1,24
                    
                ","
                    
                    1,52
                    
                ","
                    
                    1,04
                    
                ","
                    
                    0,96
                    
                ","
                    
                    2,07
                    
                ","
                    
                    2,25
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","1,60","0,87","0,93","1,02","0,77","0,90","
                    
                    1,09
                    
                ","
                    
                    1,11
                    
                ","
                    
                    0,70
                    
                ","
                    
                    0,58
                    
                ","
                    
                    1,46
                    
                ","
                    
                    1,66
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","4.017 mi","455 mi","712 mi","1.126 mi","765 mi","450 mi","
                    
                    1.326 mi
                    
                ","
                    
                    1.717 mi
                    
                ","
                    
                    133 mi
                    
                ","
                    
                    -113 mi
                    
                ","
                    
                    1.531 mi
                    
                ","
                    
                    1.346 mi
                    
                "
"Endividamento geral","56,82%","86,14%","106,18%","82,85%","70,59%","184,38%","
                    
                    99,50%
                    
                ","
                    
                    49,85%
                    
                ","
                    
                    51,31%
                    
                ","
                    
                    51,64%
                    
                ","
                    
                    31,03%
                    
                ","
                    
                    26,57%
                    
                "
